word,translation,tag
amaze,vt. 使吃惊,cet6
ambassador,"n. 大使\n[法] 大使, 使节, 代理",cet6
ambient,a. 周围的\nn. 周围环境,cet6
ambiguity,"n. 不明确, 含糊\n[计] 二义性; 多义性",cet6
ambiguous,"a. 不明确的, 模棱两可的\n[法] 意思含糊的, 模棱两可的, 暧昧的",cet6
ambition,"n. 野心, 志向",cet6
ambitious,"a. 有野心的, 抱负不凡的, 雄心勃勃的",cet6
amends,n. 赔偿\n[经] 赔偿,cet6
amid,"prep. 在其间, 在其中\n[经] 在...中",cet6
ampere,n. 安培\n[化] 安培,cet6
ample,"a. 大量的, 充足的, 丰富的",cet6
amplify,"vt. 增强, 放大, 扩大, 详述\nvi. 引伸",cet6
amplitude,"n. 广阔, 充足, 幅度\n[化] 振幅",cet6
amuse,"vt. 消遣, 娱乐, 使发笑",cet6
amusement,"n. 兴味, 娱乐, 消遣\n[法] 娱乐, 娱乐活动",cet6
analogous,"a. 类似的, 相似的\n[医] 类似的, 类同的",cet6
analogue,"n. 类似物, 相似情况\n[医] 类似物, 同型物, 相似器官, 同功异质体",cet6
analogy,"n. 相似, 类似\n[计] 模拟",cet6
analyse,"vt. 分析, 细察, 分解\n[经] 分析",cet6
analysis,n. 分析\n[计] 分析机; 分析员; 分析; 分析程序,cet6
analyst,"n. 分析者, 精神分析学家\n[化] 分析员; 化验员",cet6
analytic,"a. 分析的, 善于分析的, 解析的\n[医] 分析的",cet6
analytical,"a. 分析的, 善于分析的, 解析的\n[机] 分析的",cet6
ancestor,"n. 祖先, 祖宗",cet6
anchor,"n. 锚\nvt. 抛锚停泊, 使固定\n[计] 锚",cet6
ancient,"a. 古代的, 古老的, 年老的, 旧的",cet6
ankle,"n. 踝\n[医] 踝, 踝关节",cet6
anniversary,n. 周年纪念,cet6
announce,"vt. 宣布, 声称, 显示, 预告\nvi. 当报幕员, 宣布参加竞选",cet6
annually,"adv. 一年一次, 每年\n[经] 年度的, 每年的",cet6
anode,n. 阳极\n[化] 阳极; 正极,cet6
anonymous,"a. 姓氏不详的, 无名的, 无特色的\n[计] 无记录",cet6
antarctic,"a. 南极的, 南极地带的\nn. 南极地区",cet6
antenna,"n. 天线, 触须, 触角\n[化] 天线",cet6
anticipate,"vt. 预期, 占先, 加速, 提前使用\n[医] 提前出现, 先期发生",cet6
antique,"n. 古董, 古物\na. 古老的, 古风的, 旧式的, 过时的",cet6
antisocial,"不爱社交的, 反社会的, 有害于公众利益的\n[医] 不喜社交的",cet6
anxiety,"n. 焦虑, 忧虑, 令人焦虑的事\n[医] 焦虑",cet6
anxious,"a. 忧虑的, 发愁的, 渴望的",cet6
apparatus,"n. 装置, 器具, 器官\n[化] 仪器; 器械",cet6
apparent,"a. 清晰可见的, 显然的, 表面上的\n[电] 外在的",cet6
appeal,"n. 恳求, 诉请, 上诉, 吸引力\nvi. 呼吁, 诉请, 要求, 上诉, 有吸引力\nvt. 将...上诉",cet6
appealing,"a. 有感染力的, 动人的, 恳求的",cet6
appendix,"n. 附录, 附加物, 阑尾\n[化] 增补",cet6
appetite,"n. 食欲, 欲望, 爱好\n[医] 食欲",cet6
applaud,"v. 拍手喝彩, 称赞, 赞同",cet6
applause,"n. 鼓掌, 喝彩, 赞许",cet6
appliance,"n. 器械, 用具, 应用\n[医] 矫正器; 器",cet6
applicable,"a. 合适的, 可应用的\n[法] 适用的, 适应的",cet6
application,"n. 应用, 申请, 志愿书, 应用程序\n[计] 应用, 应用程序",cet6
apply,"vt. 涂, 应用\nvi. 申请, 适用",cet6
appoint,"vt. 任命, 指定, 下令\n[法] 派, 派任, 任命",cet6
appointment,"n. 约会, 委任的职位, 委派\n[经] 任命, 派, 指定",cet6
appraisal,"n. 评价, 估价\n[经] 评价, 评估",cet6
appraise,"vt. 评价, 估价\n[经] 评价, 鉴定",cet6
appreciable,"a. 可感知的, 可评估的",cet6
appreciate,"vt. 赏识, 鉴别, 为...而感激, 领会, 欣赏\nvi. 增值, 涨价",cet6
appreciation,"n. 感激, 赏识, 鉴别\n[经] 涨价, 增值",cet6
approach,"n. 接近, 入门\nvt. 接近, 近似, 找...商量\nvi. 靠近",cet6
appropriate,"a. 适当的\n[经] 适当的, 拨出, 占用",cet6
approval,"n. 赞成, 批准\n[化] 核准",cet6
approve,"vt. 赞同, 核准, 为...提供证据\nvi. 赞许",cet6
approximate,"a. 大约的, 接近的, 近似的\nvt. 接近, 使接近, 粗略估计\nvi. 接近于",cet6
approximately,"adv. 大约, 大致, 近于\n[经] 大约, 近似",cet6
apt,"a. 有...倾向的, 易于的, 恰当的, 聪明的\n[计] 自动数控语言, 自动图象传输, 自动程序控制, 自动程序设计工具",cet6
arabian,"a. 阿拉伯的, 阿拉伯人的",cet6
arbitrary,"a. 任意的, 武断的, 专治的, 霸道的",cet6
arc,"n. 弧, 弧形, 弓形, 弧光\n[化] 弧",cet6
arch,"n. 拱门, 拱形, 足弓\nvt. 使成弓形\nvi. 拱起, 成弓形\na. 主要的, 调皮的, 傲慢无礼的, 狡猾的",cet6
architect,"n. 建筑师, 设计者, 缔造者",cet6
architecture,"n. 建筑学, 建筑式样\n[计] 体系结构",cet6
arctic,"a. 北极的, 极寒的\nn. 北极圈, 北极",cet6
argue,"vi. 提出理由, 争论, 辩论\nvt. 主张, 辩论, 证明, 说服",cet6
arise,"vi. 站立, 出现, 起来",cet6
arithmetic,"n. 算术, 算术知识\n[机] 算术; 算术的",cet6
arouse,"vt. 唤醒, 鼓励, 引起\nvi. 醒来",cet6
array,"n. 排列, 衣服, 大批, 军队\nvt. 布署, 打扮, 排列\n[计] 数组; 阵列",cet6
arrest,"n. 逮捕, 监禁\nvt. 拘捕, 抑制, 吸引, 阻止",cet6
arrogant,"a. 自大的, 傲慢的",cet6
articulate,"a. 发音清晰的, 口才好的\nvt. 明白地说, 以关节连接, 使成为系统的整体",cet6
artificial,"a. 人造的, 假的, 非原地产的\n[医] 人工的, 人造的, 伟牟",cet6
artistic,"a. 艺术的, 艺术家的, 富有艺术性的",cet6
ascend,"vi. 上升, 追溯, 登高\nvt. 攀登",cet6
ascertain,"vt. 确定, 查明\n[法] 查明, 弄清, 确定",cet6
ascribe,"vt. 归因于, 归咎于\n[法] 归咎于",cet6
ashore,"adv. 向岸, 在岸上",cet6
aspect,"n. 外观, 方面, 面貌, 方向\n[医] 方面, 局面; 外观",cet6
aspiration,"n. 热望, 志向, 渴望\n[医] 吸入; 吸[引], 吸引术",cet6
ass,"n. 驴, 傻瓜, 笨蛋, 屁股\n[计] 模拟仿真系统",cet6
assassinate,"vt. 暗杀, 行刺\n[法] 暗杀, 行刺, 中伤",cet6
assault,"n. 攻击, 袭击\nvt. 袭击, 攻击\nvi. 发动攻击",cet6
assemble,"vt. 集合, 收集, 装配\nvi. 集合\n[计] 汇编",cet6
assert,"vt. 主张, 坚称, 断言\n[法] 宣称, 断言, 维护",cet6
assertive,"a. 武断的, 过分自信的\n[法] 断言的",cet6
assess,"vt. 估定, 对...征税, 评定\n[经] 估计, 估价, 确定(税款罚款等)的金额",cet6
assessment,"n. 评估, 估定, 评定的款额\n[化] 评估",cet6
asset,"n. 资产, 有益的东西",cet6
assign,"vt. 分配, 指派, 赋值\n[计] 赋值",cet6
assignment,"n. 分配, 功课, 任务, 转让, 归因, 陈述\n[计] 赋值",cet6
assimilate,"vt. 使同化, 吸收, 使相拟, 把...比作\nvi. 被吸收, 被同化",cet6
assimilation,"n. 同化, 同化作用, 吸收\n[化] 同化; 同化作用",cet6
assist,"n. 帮助, 协助\nvt. 帮助, 促进\nvi. 协助, 参加",cet6
assistant,"n. 助手, 助理, 助教\na. 有帮助的, 辅助的, 助理的",cet6
associate,"n. 同伴, 伙伴, 关联的事物\nvt. 使联合, 使发生联系\nvi. 交往\n[计] 关联",cet6
association,n. 协会\n[计] 关联,cet6
assume,"vt. 假定, 承担, 呈现\nvi. 装腔作势, 僭越",cet6
assumption,"n. 假定, 自负, 担任, 假装\n[经] 假定, 承担",cet6
assurance,"n. 保证, 把握, 信心, 保险\n[经] 保证, 担保, 保险",cet6
assure,"vt. 保证, 使确信, 弄清楚, 担保\n[法] 确信, 保证, 保障",cet6
astonishment,"n. 惊异, 惊愕, 使人惊异的事物",cet6
astronaut,"n. 太空旅行者, 宇航员\n[法] 美国太空人",cet6
astronomy,n. 天文学,cet6
athlete,"n. 运动员, 运动选手\n[医] 运动员",cet6
athletic,a. 运动的,cet6
atmosphere,"n. 大气, 空气, 气氛\n[医] 大气; 大气压",cet6
atmospheric,a. 大气的\n[医] 大气的; 大气压的,cet6
atom,"n. 原子, 核能, 微粒, 微量\n[计] 原子",cet6
attach,"vt. 附上, 使依附, 使附属, 使喜爱, 系, 缚\nvi. 附属, 归属, 联系在一起\n[计] 挂接服务器命令, 关联, 挂接, 附加",cet6
attachment,"n. 连接, 附属物, 连接物, 爱慕\n[计] 附加, 附件",cet6
attack,"n. 攻击, 抨击\nvt. 攻击, 抨击, 动手干\nvi. 攻击",cet6
attain,"vt. 达到, 获得\nvi. 达到",cet6
attempt,"n. 尝试, 企图\nvt. 尝试, 企图",cet6
attendance,"n. 出席, 出席的人数, 照料\n[法] 管理, 照料, 资助",cet6
attendant,"n. 随从, 侍者, 出席者\na. 侍候的, 伴随的, 出席的, 在场的",cet6
attent,"[古]注意的, 留意的",cet6
attentive,"a. 注意的, 留心的",cet6
attorney,"n. 代理人, 律师\n[经] 律师, 代理人",cet6
attribute,"n. 属性, 标志, 定语\nvt. 把...归于, 认为...属于\n[计] 属性",cet6
audience,"n. 听众, 观众, 读者\n[法] 听讼, 观众, 听众",cet6
augment,"v. 增加, 增长\n[计] 增加; 增量; 添加",cet6
aural,"a. 耳的, 听觉的, 气氛的, 气味的, 光环的\n[医] 耳的; 先兆的",cet6
authentic,"a. 可靠的, 可信的, 真正的\n[法] 被认证的, 确认的, 可信的",cet6
author,"n. 作家, 作家的著作, 创始人\n[法] 作者, 著作人, 本人",cet6
authority,"n. 权力, 当权者, 当局, 权威, 专家\n[经] 代理权, 授权, 权威",cet6
automate,vt.vi. (使)自动化\n[计] 自动化,cet6
automatic,"n. 自动手枪, 自动机械\na. 自动的, 机械的, 必然的, 无意识的",cet6
automation,"n. 自动化, 自动操作\n[计] 自动学; 自动化",cet6
automobile,n. 汽车\n[机] 汽车,cet6
auxiliary,"n. 辅助者, 辅助物, 附属机构, 助动词\na. 辅助的, 备用的",cet6
avail,"vi. 有用, 有利\nvt. 有利于\nn. 效用, 利益",cet6
availability,"n. 有效性, 可利用性, 可利用的人\n[计] 有效性; 可用性",cet6
available,"a. 可利用的, 可获得的, 有效的\n[医] 有效的, 可得的",cet6
avert,"vt. 转开, 避免, 防止",cet6
aviation,"n. 航空, 航空学, 飞行术\n[法] 航空, 飞行, 飞行术",cet6
awake,"a. 醒着的\nvt. 唤醒, 唤起, 使意识到\nvi. 醒来, 被唤起, 意识到",cet6
award,"n. 奖品, 裁定, 判决\nvt. 授予, 给予",cet6
awful,"a. 可怕的, 庄严的, 虔敬的",cet6
awkward,"a. 笨拙的, 棘手的",cet6
axial,"a. 轴的, 成轴的, 轴向的\n[医] 轴的, 中轴的",cet6
axis,n. 轴\n[计] 坐标轴,cet6
axle,"n. 轴, 车轴\n[电] 轴",cet6
bachelor,"n. 单身汉, 学士\n[法] 学士, 单身汉",cet6
backbone,"n. 脊椎, 志气, 骨干, 支柱\n[计] 主干网, 主干网点",cet6
bacon,n. 熏猪肉\n[机] 腌肉,cet6
bacteria,"pl. 细菌\n[医] 细菌, [无芽胞]杆菌",cet6
bacterium,n. 细菌\n[医] [无芽胞]杆菌属,cet6
badge,"n. 徽章, 标记\n[计] 标记",cet6
badminton,n. 羽毛球运动,cet6
baffle,"vt. 困惑, 为难, 使挫折\nvi. 徒作挣扎\nn. 迷惑, 挡板",cet6
bait,"n. 饵\nvt. 以饵引诱, 欺负\nvi. 中途休息",cet6
balcony,"n. 阳台, 戏院楼厅",cet6
bald,"a. 秃头的, 光秃的, 单调的, 赤裸的\nvi. 变秃",cet6
ballet,n. 芭蕾舞,cet6
ballot,"n. 投票, 投票用纸, 抽签\nvi. 投票, 抽签\nvt. 投票选出, 拉选票",cet6
bamboo,n. 竹子\n[医] 竹类,cet6
ban,"n. 禁令\nvt. 禁止, 取缔",cet6
bandage,n. 绷带\n[化] 帘布筒; 实心轮胎; 紧带; 绷带,cet6
bandit,n. 强盗,cet6
bang,"n. 重击, 突然巨响, 刘海\nv. 发巨响, 重击\nadv. 砰然地, 突然巨响地, 直接地\n[计] 撞击符",cet6
banker,"n. 银行家, 庄家\n[经] 银行业者, 银行家",cet6
bankrupt,n. 破产者\na. 破产的\nvt. 使破产,cet6
bankruptcy,"n. 破产者\n[经] 破产, 倒闭",cet6
banquet,n. 宴会,cet6
barely,adv. 几乎不,cet6
bargain,"n. 交易, 买卖协定, 特价商品\nv. 讲价, 交易",cet6
barge,"n. 驳船\nvt. 用船运输\nvi. 蹒跚, 闯入",cet6
bark,"n. 树皮, 吠声\nvi. 吠, 叫骂\nvt. 喊出, 剥树皮",cet6
barley,n. 大麦\n[医] 大麦,cet6
barn,n. 谷仓\n[化] 靶(恩)(核反应截面单位),cet6
barometer,n. 气压计\n[化] 气压计,cet6
baron,"n. 男爵\n[法] 男爵, 贵族, 大王",cet6
barrel,n. 桶\nvt. 装入桶内,cet6
barren,"a. 不育的, 贫瘠的\nn. 荒地",cet6
barrier,"n. 障碍, 栅栏\n[化] 势垒; 阻片; 阻挡层",cet6
baseball,n. 棒球\n[计] 棒球系统,cet6
basement,"n. 地下室, 墙脚\n[化] 地下室",cet6
basin,"n. 盆, 盆地\n[医] 第三脑室, 骨盆",cet6
batch,"n. 一次所烘的面包, 一次所制之量, 一组, 批, 成批, 分批\nv. 成批, 分批处理\n[计] 一批",cet6
battery,"n. 电池, 殴打\n[化] 蓄电池",cet6
battle,n. 战役\nv. 战斗,cet6
bay,"n. 海湾, 狗吠声, 月桂\nvt. 吠, 使走投无路\nvi. 吠",cet6
bazaar,"n. 集市, 市场, 义卖市场",cet6
bead,"n. 珠子, 滴\nvt. 用珠装饰\nvi. 形成珠\n[计] 珠",cet6
beam,"n. 横梁, 杆, 光线, 容光焕发\nvi. 用梁支承, 微笑, 射出光线\nvt. 照耀, 感到欣喜\n[计] 束",cet6
bean,n. 豆子\n[化] 油嘴; 豆,cet6
bearing,"n. 举止, 轴承, 忍受, 关系, 意义, 方向, 生育\n[化] 轴承",cet6
beetle,"n. 甲虫, 大槌\nvi. 快速移动\nvt. 捶",cet6
beforehand,adv. 预先,cet6
beggar,"n. 乞丐\nvt. 使贫穷, 使成乞丐",cet6
beginning,n. 开始,cet6
behalf,"n. 利益, 方面",cet6
behave,"vi. 举止端正, 行为规矩\nvt. 检点(自己的)行为, 使表现好",cet6
behavior,"n. 行为, 举止\n[医] 行为",cet6
bench,n. 长椅子\n[机] 台,cet6
bend,"vi. 变弯曲, 屈服\nvt. 使弯曲, 使屈服\nn. 弯曲",cet6
beneficiary,"n. 受惠者, 受益人\na. 受封的",cet6
benefit,n. 利益\nvt. 有益于\nvi. 受益,cet6
benign,"a. 善良的, 良性的\n[医] 良性的",cet6
bestow,"vt. 授予, 使用, 贮藏, 留宿",cet6
betray,"vt. 出卖, 背叛, 辜负, 暴露\n[法] 出卖, 背叛, 泄漏",cet6
beware,"v. 小心, 谨防",cet6
bewilder,"vt. 使迷惑, 使不知所措",cet6
bias,"n. 偏见, 斜纹\na. 偏斜的\nadv. 偏斜\nvt. 使有偏见\n[计] 偏流; 偏压; 偏磁; 偏离",cet6
biased,a. 有偏见的\n[计] 边缘的,cet6
bid,"n. 出价\nv. 命令, 吩咐, 请求, 表示, 宣布, 投标",cet6
billion,"num. 十亿, 十亿个",cet6
biotech,n. 生物技术,cet6
bishop,"n. 主教, (国际象棋中的)象, 热果子酒",cet6
bitterness,"n. 苦味, 悲痛, 怨恨",cet6
bizarre,a. 奇异的,cet6
blacksmith,n. 铁匠\n[机] 铁匠,cet6
blade,"n. 叶片, 刀锋, 刀口, 剑\n[医] 页[片], 叶片, 刀片, 刀刃, 刀口",cet6
blame,"n. 过失, 责备\nvt. 责备, 归咎于",cet6
blast,"n. 一阵风, 爆炸, 枯萎病\nvt. 炸, 使枯萎\nvi. 炸, 猛攻, 猛烈抨击, 枯萎",cet6
blaze,"n. 火焰, 烈火, 光辉\nvi. 燃烧, 发光\nvt. 使燃烧, 宣布, 在树皮上刻痕",cet6
bleach,"vt. 漂白\nvi. 变白\nn. 漂白, 漂白剂",cet6
bleak,"a. 萧瑟的, 荒凉的, 阴冷的",cet6
bleed,"vi. 流血, 悲痛, 渗出\nvt. 使出血, 榨取",cet6
blend,vt. 混合\nn. 混合,cet6
bless,"vt. 祝福, 祈佑, 使神圣化",cet6
blind,"n. 蒙蔽物, 窗帘\na. 盲目的, 瞎的, 不加思考的\nvt. 使失明, 蒙蔽, 遮暗\nadv. 盲目地",cet6
blink,"vi. 眨眼, 闪亮\nvt. 眨眼, 使闪亮\nn. 眨眼, 瞬间, 闪光, 闪烁\n[计] 闪烁",cet6
blond,a. 金发的\nn. 白肤碧眼金发的人,cet6
bloom,"n. 花, 开花, 青春, 钢块\nvi. 开花, 焕发青春, 茂盛\nvt. 使茂盛, 把...轧成钢坯",cet6
blossom,"n. 花, 花开的状态, 兴旺期\nvi. 开花, 兴旺, 发展",cet6
blouse,n. 宽松的上衣,cet6
blunder,"n. 大错, 大失策\nvi. 失策, 跌跌撞撞地走, 犯错\nvt. 做错",cet6
blunt,"a. 钝的, 坦率的, 麻痹的",cet6
bluntly,"adv. 坦率地, 率直地",cet6
blur,"vt. 使模糊, 弄脏\nvi. 弄脏, 模糊",cet6
blush,"vi. 脸红, 羞愧\nvt. 弄成红色\nn. 脸红",cet6
board,"n. 木板, 甲板, 膳食, 会议桌\nvt. 乘船, 供膳食, 用板覆盖\nvi. 搭伙\n[计] 板",cet6
boast,"n. 吹牛\nvi. 吹牛, 自夸\nvt. 夸口说, 自恃有",cet6
boiler,"n. 煮器, 汽锅, 锅炉\n[化] 锅炉",cet6
bold,a. 大胆的\nn. 粗体\n[计] 粗体,cet6
bolt,"n. 门闩, 螺钉, 筛子, 闪电, 意外事件\nvt. 闩住, 发射, 脱口而出, 筛, 囫囵吞下\nvi. 囫囵吞枣, 射箭, 脱缰, 退出党派\nadv. 突然",cet6
bomb,"n. 炸弹\nvt. 轰炸, 投弹于\nvi. 失败",cet6
bond,"n. 捆绑物, 结合, 债券, 契约, 粘合剂, 保证人, 键, 关栈保留\nvt. 存入关栈, 使黏合\nvi. 结合",cet6
bonus,"n. 奖金, 红利\n[经] 奖金, 红利, 额外补贴",cet6
boost,"n. 推进, 吹捧\nvt. 推进, 提高, 宣扬, 促进",cet6
booth,"n. 亭, 摊棚\n[经] 货摊, 电话间",cet6
bore,"n. 令人讨厌的人, 激浪, 枪膛, 孔\nvt. 使烦扰, 钻孔\nvi. 钻孔\nbear的过去式\n[计] 内径; 孔径",cet6
bosom,"n. 胸部, 胸, 胸怀, 内部, 中间\nvt. 怀抱",cet6
bough,n. 大树枝,cet6
bounce,"n. 跳, 跳跃, 弹力, 撞击\nvi. 反跳, 弹跳\nvt. 使跳回, 撞击\n[计] 打回",cet6
bound,"n. 跃, 回跳, 范围, 边界\na. 受约束的, 装有封面的, 有义务的, 关联的, 被束缚的, 准备去...的, 便秘的\nvi. 跳跃, 弹起\nvt. 使跳, 限制, 形成...的疆界\nbind过去式和过去分词\n[计] 装订的",cet6
boundary,"n. 边界, 分界线\n[计] 边界",cet6
bourgeois,"n. 中产阶级分子, 商人, 资产阶级\na. 中产阶级的, 平庸的\nn. 九点活字",cet6
bow,"n. 弓, 眼睛框\nv. 用弓拉琴, 弯成弓形\nn. 鞠躬, 屈服",cet6
boycott,n. 联合抵制\nvt. 联合抵制,cet6
brace,"n. 支柱, 曲柄, 支撑, 一对\nvt. 紧缚, 支撑, 激励\nvi. 打起精神\n[计] 花括号",cet6
brand,"n. 商标, 牌子, 烙印\nvt. 打烙印于",cet6
brandy,n. 白兰地酒\n[化] 白兰地,cet6
breadth,"n. 宽度\n[法] 违背, 违犯, 未遵守",cet6
breakdown,"n. 崩溃, 故障\n[化] 事故; 击穿",cet6
breast,"n. 胸部, 乳房, 胸怀\nvt. 以胸对着, 面对",cet6
breed,"n. 种类, 品种\nv. 养育, 引起, 饲养, 繁殖",cet6
breeze,"n. 微风, 煤屑, 轻而易举的事\nvi. 吹微风, 逃走",cet6
bribe,"n. 贿赂\nvt. 贿赂, 收买\nvi. 行贿",cet6
bridegroom,n. 新郎,cet6
bridle,"n. 马勒, 约束\n[医] 系带, 约束",cet6
brightness,"n. 光亮, 明亮, 聪明\n[计] 亮度",cet6
brim,"n. 边, 边缘, (河)边\nvt. 注满, 使满溢\nvi. 满溢",cet6
brisk,"a. 强烈的, 寒冷而干燥的, 活泼的\nvt. 使活泼\nvi. 活跃起来",cet6
bristle,"n. 刚毛, 猪鬃\nvi. 直立, 发怒, 充满\nvt. 使直立",cet6
brittle,"a. 易碎的, 脆弱的, 易坏的\n[机] 脆的, 脆性的, 易碎的",cet6
broaden,"vi. 变宽, 扩大\nvt. 放宽, 使扩大",cet6
bronze,"n. 青铜, 铜像\na. 青铜色的",cet6
brood,"n. 一窝, 一伙\nvt. 孵, 沉思",cet6
brook,n. 小溪\nvt. 容忍,cet6
broom,"n. 扫帚, 金雀花\nvt. 扫除",cet6
browse,"v. 浏览, 吃草\nn. 浏览, 吃草\n[计] 浏览",cet6
bruise,"n. 青肿, 挫伤, 擦伤\nvi. 受伤, 擦伤\nvt. 使受伤, 研碎",cet6
brutal,"a. 残忍的, 野蛮的, 不讲理的",cet6
brute,"n. 畜生, 残忍或好色之人\na. 残忍的, 无理性的, 畜生的",cet6
bucket,n. 桶\n[计] 存储桶; 桶,cet6
bud,"n. 芽, 花蕾\nvi. 发芽, 萌芽\nvt. 使发芽",cet6
buddhism,n. 佛教,cet6
budget,"n. 预算\nvi. 编预算\nvt. 编入预算, 安排\na. 廉价的",cet6
buffalo,n. 水牛\n[机] 水牛,cet6
bug,"n. 错误, 虫, 病菌, 缺陷, 窃听器, 癖好, 防盗报警器, 双座小汽车, 要人\nvt. 装防盗报警器, 装窃听器, 激怒\nvi. 捉虫, 暴突\n[计] 缺点, 错误",cet6
bugle,"n. 喇叭, 号角\nv. 吹号",cet6
bulb,"n. 球茎, 电灯泡\n[医] 球, 鳞茎, 球茎",cet6
bulk,"n. 大小, 体积, 大块, 大多数\nvt. 显得大, 显得重要",cet6
bull,"n. 公牛\n[法] 买方, 买空者",cet6
bulletin,"n. 公告, 布告, 公报\n[电] 电子布告栏",cet6
bump,"n. 撞击, 肿块\nvt. 碰撞\nvi. 撞, 颠簸而行",cet6
bunch,"n. 串, 束\n[医] 骨肿块(马)",cet6
bundle,"n. 捆, 束\nvt. 包扎, 胡乱塞进\nvi. 匆忙离开",cet6
burden,"n. 负担, 重载, 担子, 责任\nvt. 装货于, 烦扰, 使负担",cet6
bureau,"n. 局, 办公处\n[经] 局, 司, 处",cet6
bureaucracy,"n. 官僚, 官吏\n[法] 官僚主义, 官僚政治, 官僚机构",cet6
burglar,"n. 窃贼\n[法] 夜盗, 窃贼, 盗窃者",cet6
burial,"n. 埋葬, 葬礼\n[法] 埋葬, 葬礼",cet6
burn,"vt. 烧, 烧毁, 烧伤\nvi. 燃烧, 发热, 烧毁\nn. 烧伤, 烙印",cet6
burner,"n. 火炉, 烧火的人\n[化] 灯; 灯头; 烧嘴炉; 燃烧器; 燃烧炉",cet6
burst,"n. 破裂, 突发, 爆发\nv. 爆裂, 突发, 充满\n[计] 二进制位组; 字符组; 脉冲串",cet6
bushel,n. 蒲式耳(容量单位)\nv. 修整(衣物),cet6
business,"n. 生意, 事情, 业务, 商业, 商行, 职责\n[经] 企业, 商业, 营业",cet6
butcher,"n. 屠夫, 肉商, 小贩\nvt. 屠宰, 屠杀",cet6
butt,"n. 粗大的一头, 烟头, 靶, 笑柄\n[医] 对核",cet6
button,"n. 钮扣, 按钮\nvi. 扣住\nvt. 钉钮扣于, 扣紧\n[计] 按钮",cet6
buzz,"n. 嗡嗡声, 流言\nvi. 发出嗡嗡声, 说闲话\nvt. 使嗡嗡叫, 散布",cet6
bypass,"n. 旁路\nvt. 省略, 绕过, 忽视, 回避",cet6
cabin,"n. 小屋, 客舱\nvt. 关在小屋",cet6
cabinet,"n. 橱柜, 内阁\na. 内阁的, 细木工做的\n[计] 机柜",cet6
cable,"n. 电缆, 海底电报, 缆, 索\nvi. 打海底电报\nvt. 发海底电报, 缚住\n[计] 电缆",cet6
cafe,"n. 咖啡馆, 酒店",cet6
cafeteria,n. 自助餐厅\n[经] 自助餐厅,cet6
cage,"n. 笼, 牢房, 战俘营\nvt. 关进笼内",cet6
calculus,n. 结石；微积分学,cet6
calendar,"n. 日历, 日程表\nvt. 列入表中\n[计] 日历",cet6
calibration,"n. 口径测定, 刻度, 校准\n[化] 校准",cet6
calm,"n. 平稳, 风平浪静\na. 平静的, 冷静的\nvi. 平静下来, 镇静\nvt. 使平静",cet6
camel,"n. 骆驼, 打捞浮筒",cet6
camera,"n. 照相机, 摄影机, 密谈室, 暗箱\n[计] 摄影",cet6
camp,"n. 露营, 帐篷\nvi. 露营, 扎营\nvt. 使扎营",cet6
campaign,"n. 战役, 运动, 竞选运动\nvi. 参加运动, 作战",cet6
campus,"n. 校园, 大学生活",cet6
canal,"n. 运河, 水道, 管, 沟渠\nvt. 开运河",cet6
cancel,"n. 取消, 撤消, 盖销(邮票)\nvt. 取消, 删去, 抵销, 盖销\nvi. 相互抵销\n[计] 作废",cet6
cancer,"n. 癌, 恶性肿瘤\n[医] 癌",cet6
candidate,"n. 候选人, 投考者\n[法] 候选, 候补者",cet6
candle,n. 蜡烛\nvt. 对着光检查,cet6
cane,"n. 手杖, 细长的茎, 藤条\nvt. 以杖击, 以藤编制",cet6
cannon,"n. 大炮, 加农炮\nv. 炮轰",cet6
canoe,"n. 独木舟, 轻舟\nvi. 乘独木舟\nvt. 用独木舟运",cet6
canteen,"n. 水壶, 军中俱乐部, 临时流动餐馆, 小卖部",cet6
canvas,"n. 帆布, 画布, 油画\n[化] 帆布",cet6
cap,"n. 盖子, 帽子\nvt. 戴帽子, 覆盖, 胜过\nvi. 脱帽致意\n[计] 调用程序分析, 容量, 代码分析程序, 计算机辅助生产, 计算机辅助印刷",cet6
capability,"n. 能力, 性能, 约束力\n[化] 能力",cet6
capable,"a. 有能力的, 能的, 能干的",cet6
capacitance,n. 电容\n[化] 电容,cet6
capacitor,n. 电容器\n[化] 电容器,cet6
capacity,"n. 容量, 能力, 才能, 资格\n[计] 容量",cet6
cape,"n. 岬, 海角, 披肩, 斗蓬",cet6
capital,"n. 首都, 大写字母, 资本\na. 首都的, 重要的",cet6
capsule,"n. 胶囊, 蒴果, 瓶帽, 航天舱\n[化] 胶囊剂",cet6
captain,"n. 船长, 指挥官, 海军上校, 首领\nvt. 率领, 指挥",cet6
captive,"n. 俘虏, 迷恋者\na. 被俘的, 被迷住的",cet6
capture,"n. 抓取, 战利品, 捕获之物\nvt. 抓取, 获得, 迷住\n[计] 截获命令",cet6
carbon,"n. 碳, 副本, 复写纸\n[化] 碳",cet6
cargo,n. 货物\n[经] 货柜,cet6
carpenter,n. 木匠,cet6
carpet,"n. 地毯, 地毯状物\nvt. 铺以地毯, 铺盖",cet6
carriage,"n. 马车, 客车, 举止, 运输\n[经] 搬运费, 运费",cet6
carrier,"n. 运送者, 邮递员, 带菌者\n[计] 载波",cet6
carrot,n. 胡萝卜\n[医] 胡萝卜,cet6
cart,n. 二轮运货马车\nvi. 驾运货马车\nvt. 用车装载,cet6
